composition,Dmax,GFA,Tg,Tx,Tl
Li100,0,Crystal,,,453.65
Be100,0,Crystal,,,1560
B100,0,Crystal,,,2349
C100,0,Crystal,,,3800
Na100,0,Crystal,,,370.944
Mg100,0,Crystal,,,923
Al100,0,Crystal,,,933.47
Si100,0,Crystal,,,1687
P100,0,Crystal,,,317.3
Ca100,0,Crystal,,,1115
Sc100,0,Crystal,,,1814
Ti100,0,Crystal,,,1941
V100,0,Crystal,,,2183
Cr100,0,Crystal,,,2180
Mn100,0,Crystal,,,1519
Fe100,0,Crystal,,,1811
Co100,0,Crystal,,,1768
Ni100,0,Crystal,,,1728
Cu100,0,Crystal,,,1357.77
Zn100,0,Crystal,,,692.68
Ga100,0,Crystal,,,302.9146
Ge100,0,Crystal,,,1211.4
As100,0,Crystal,,,1090
Rb100,0,Crystal,,,312.45
Sr100,0,Crystal,,,1050
Y100,0,Crystal,,,1799
Zr100,0,Crystal,,,2128
Nb100,0,Crystal,,,2750
Mo100,0,Crystal,,,2896
Tc100,0,Crystal,,,2430
Ru100,0,Crystal,,,2607
Rh100,0,Crystal,,,2237
Pd100,0,Crystal,,,1828.05
Ag100,0,Crystal,,,1234.93
Cd100,0,Crystal,,,594.22
In100,0,Crystal,,,429.75
Sn100,0,Crystal,,,505.08
Sb100,0,Crystal,,,903.78
Te100,0,Crystal,,,722.66
Cs100,0,Crystal,,,301.7
Ba100,0,Crystal,,,1000
La100,0,Crystal,,,1193
Ce100,0,Crystal,,,1068
Pr100,0,Crystal,,,1208
Nd100,0,Crystal,,,1297
Sm100,0,Crystal,,,1345
Gd100,0,Crystal,,,1585
Tb100,0,Crystal,,,1629
Dy100,0,Crystal,,,1680
Ho100,0,Crystal,,,1734
Er100,0,Crystal,,,1802
Tm100,0,Crystal,,,1818
Yb100,0,Crystal,,,1097
Lu100,0,Crystal,,,1925
Hf100,0,Crystal,,,2506
Ta100,0,Crystal,,,3290
W100,0,Crystal,,,3695
Re100,0,Crystal,,,3459
Os100,0,Crystal,,,3306
Ir100,0,Crystal,,,2719
Pt100,0,Crystal,,,2041.4
Au100,0,Crystal,,,1337.33
Hg100,0,Crystal,,,234.32
Tl100,0,Crystal,,,577
Pb100,0,Crystal,,,600.61
Bi100,0,Crystal,,,544.7
Th100,0,Crystal,,,2115
U100,0,Crystal,,,1405.3
Ag40Cu40Fe20,0,Crystal,,,
Ag40Cu47Fe13,0,Crystal,,,
Cu32Fe68,0,Crystal,,,
Cu54Fe46,0,Crystal,,,
Cu63Fe37,0,Crystal,,,
Cu70Fe30,0,Crystal,,,
Cu71Fe29,0,Crystal,,,
Cu76Fe24,0,Crystal,,,
Cu90Fe10,0,Crystal,,,
Ag11Cu38Fe51,0,Crystal,,,
Ag13Cu32Fe55,0,Crystal,,,
Ag15Cu49Fe36,0,Crystal,,,
Ag15Cu83Fe2,0,Crystal,,,
Ag17Cu20Fe63,0,Crystal,,,
Ag17Cu41Fe42,0,Crystal,,,
Ag22Cu51Fe27,0,Crystal,,,
Ag23Cu10Fe67,0,Crystal,,,
Ag24Cu31Fe45,0,Crystal,,,
Ag25Cu25Fe50,0,Crystal,,,
Ag26Cu23Fe51,0,Crystal,,,
Ag27Cu31Fe42,0,Crystal,,,
Ag27Cu73,0,Crystal,,,
Ag28Cu45Fe27,0,Crystal,,,
Ag31Cu49Fe20,0,Crystal,,,
Ag31Cu55Fe14,0,Crystal,,,
Ag32Cu66Fe2,0,Crystal,,,
Ag37Cu6Fe57,0,Crystal,,,
Ag42Fe58,0,Crystal,,,
Ag48Fe52,0,Crystal,,,
Ag48Cu52,0,Crystal,,,
Ag49Cu29Fe22,0,Crystal,,,
Ag50Fe50,0,Crystal,,,
Ag51Cu13Fe36,0,Crystal,,,
Ag52Fe48,0,Crystal,,,
Ag55Fe45,0,Crystal,,,
Ag58Cu32Fe10,0,Crystal,,,
Ag61Fe39,0,Crystal,,,
Ag62Cu30Fe8,0,Crystal,,,
Ag63Fe37,0,Crystal,,,
Ag63Cu8Fe29,0,Crystal,,,
Ag67Fe33,0,Crystal,,,
Ag70Fe30,0,Crystal,,,
Ag84Fe16,0,Crystal,,,
Ag37.5Cu37.5Ge25,0.15,Ribbon,,,
Ag38.75Cu38.75Ge22.5,0.15,Ribbon,,,
Ag40Cu40Ge20,0.15,Ribbon,,,
Ag35Cu35Mg30,0.15,Ribbon,,,
Ag7.1Cu85.2P7.7,0.15,Ribbon,,,
Ag7.5Cu85.5P7,0.15,Ribbon,,,
Ag8.9Cu83.5P7.6,0.15,Ribbon,,,
Ag9Cu82.8P8.2,0.15,Ribbon,,,
Ag9Cu84P7,0.15,Ribbon,,,
Ag10.5Cu81.5P8,0.15,Ribbon,,,
Ag10.5Cu81.9P7.6,0.15,Ribbon,,,
Ag10.5Cu82.5P7,0.15,Ribbon,,,
Ag12.2Cu80.3P7.5,0.15,Ribbon,,,
Ag12.2Cu80.8P7,0.15,Ribbon,,,
Ag7Cu84.5P8.5,0,Crystal,,,
Ag7.5Cu86P6.5,0,Crystal,,,
Ag9Cu84.5P6.5,0,Crystal,,,
Ag10.5Cu80.5P9,0,Crystal,,,
Ag12.2Cu81.5P6.3,0,Crystal,,,
Ag14Cu78.5P7.5,0,Crystal,,,
Ag5.5Cu87P7.5,0,Crystal,,,
Ag9Cu82.5P8.5,0,Crystal,,,
Ag9Cu85P6,0,Crystal,,,
Mg84Y16,0.15,Ribbon,,,
Ag5Mg80Y15,0.15,Ribbon,,,
Ag10Mg60Y30,0.15,Ribbon,,,
Ag10Mg70Y20,0.15,Ribbon,,,
Ag10Mg80Y10,0.15,Ribbon,,,
Ag15Mg80Y5,0.15,Ribbon,,,
Ag20Mg30Y50,0.15,Ribbon,,,
Ag20Mg40Y40,0.15,Ribbon,,,
Ag20Mg50Y30,0.15,Ribbon,,,
Ag20Mg60Y20,0.15,Ribbon,,,
Ag20Mg70Y10,0.15,Ribbon,,,
Ag25Mg60Y15,0.15,Ribbon,,,
Ag25Mg65Y10,0.15,Ribbon,,,
Ag25Mg70Y5,0.15,Ribbon,,,
Ag30Mg30Y40,0.15,Ribbon,,,
Ag30Mg40Y30,0.15,Ribbon,,,
Ag30Mg50Y20,0.15,Ribbon,,,
Ag30Mg55Y15,0.15,Ribbon,,,
Ag30Mg60Y10,0.15,Ribbon,,,
Ag40Mg30Y30,0.15,Ribbon,,,
Ag40Mg40Y20,0.15,Ribbon,,,
Ag40Mg50Y10,0.15,Ribbon,,,
Ag50Mg30Y20,0.15,Ribbon,,,
Mg80Y20,0,Crystal,,,
Mg87.5Y12.5,0,Crystal,,,
Ag5Mg85Y10,0,Crystal,,,
Ag10Mg50Y40,0,Crystal,,,
Ag10Mg85Y5,0,Crystal,,,
Ag20Mg20Y60,0,Crystal,,,
Ag50Mg20Y30,0,Crystal,,,
Ag60Mg20Y20,0,Crystal,,,
Mg75Y25,0,Crystal,,,
Mg95Y5,0,Crystal,,,
Ag5Mg90Y5,0,Crystal,,,
Ag30Mg20Y50,0,Crystal,,,
Ag40Mg20Y40,0,Crystal,,,
Ag50Mg40Y10,0,Crystal,,,
Pd84Si16,0.15,Ribbon,,,
Pd85Si15,0.15,Ribbon,,,
Ag4.5Pd79Si16.5,0.15,Ribbon,,,
Ag5Pd77Si18,0.15,Ribbon,,,
Ag5Pd79Si16,0.15,Ribbon,,,
Ag5.5Pd78Si16.5,0.15,Ribbon,,,
Ag8.5Pd75Si16.5,0.15,Ribbon,,,
Ag4Pd79.5Si16.5,0.15,Ribbon,,,
Ag1.7Pd81.8Si16.5,0.15,Ribbon,,,
Ag4.2Pd79.3Si16.5,0.15,Ribbon,,,
Ag6.7Pd76.8Si16.5,0.15,Ribbon,,,
Ag10Pd73.5Si16.5,0.15,Ribbon,,,
Ag12.5Pd71Si16.5,0.15,Ribbon,,,
Ag15Pd68.5Si16.5,0.15,Ribbon,,,
Ag4.5Pd75.5Si20,0.15,Ribbon,,,
Ag6Pd77.5Si16.5,0.15,Ribbon,,,
Ag20.9Pd62.6Si16.5,0,Crystal,,,
Al25Au20La55,0.15,Ribbon,,,
B18Co82,0.15,Ribbon,,,
B22Co78,0.15,Ribbon,,,
B26Co74,0.15,Ribbon,,,
B30Co70,0.15,Ribbon,,,
B36Co64,0.15,Ribbon,,,
B38Co62,0.15,Ribbon,,,
B40Co60,0.15,Ribbon,,,
Al4B18Co78,0.15,Ribbon,,,
Al4B22Co74,0.15,Ribbon,,,
Al4B26Co70,0.15,Ribbon,,,
Al4B30Co66,0.15,Ribbon,,,
Al4B34Co62,0.15,Ribbon,,,
Al8B18Co74,0.15,Ribbon,,,
Al8B22Co70,0.15,Ribbon,,,
Al8B26Co66,0.15,Ribbon,,,
Al8B30Co62,0.15,Ribbon,,,
Al8B34Co58,0.15,Ribbon,,,
Al12B18Co70,0.15,Ribbon,,,
Al12B22Co66,0.15,Ribbon,,,
Al12B26Co62,0.15,Ribbon,,,
Al12B30Co58,0.15,Ribbon,,,
Al12B34Co54,0.15,Ribbon,,,
Al12B38Co50,0.15,Ribbon,,,
Al16B14Co70,0.15,Ribbon,,,
Al16B18Co66,0.15,Ribbon,,,
Al16B22Co62,0.15,Ribbon,,,
Al16B26Co58,0.15,Ribbon,,,
Al16B30Co54,0.15,Ribbon,,,
Al16B34Co50,0.15,Ribbon,,,
Al20B26Co54,0.15,Ribbon,,,
Al20B30Co50,0.15,Ribbon,,,
Al20B34Co46,0.15,Ribbon,,,
Al20B38Co42,0.15,Ribbon,,,
Al24B26Co50,0.15,Ribbon,,,
Al24B34Co42,0.15,Ribbon,,,
Al24B40Co36,0.15,Ribbon,,,
Al8B14Co78,0,Crystal,,,
Al12B14Co74,0,Crystal,,,
Al20B18Co62,0,Crystal,,,
Al20B22Co58,0,Crystal,,,
Al4B10Co86,0,Crystal,,,
Al4B14Co82,0,Crystal,,,
Al8B10Co82,0,Crystal,,,
Al12B6Co82,0,Crystal,,,
Al12B10Co78,0,Crystal,,,
Al16B10Co74,0,Crystal,,,
Al20B10Co70,0,Crystal,,,
Al20B14Co66,0,Crystal,,,
Al24B22Co54,0,Crystal,,,
B13Fe87,0.15,Ribbon,,,
B18Fe82,0.15,Ribbon,,,
B22Fe78,0.15,Ribbon,,,
Al4B14Fe82,0.15,Ribbon,,,
Al4B18Fe78,0.15,Ribbon,,,
Al4B22Fe74,0.15,Ribbon,,,
Al8B14Fe78,0.15,Ribbon,,,
Al8B18Fe74,0.15,Ribbon,,,
Al8B22Fe70,0.15,Ribbon,,,
Al12B14Fe74,0.15,Ribbon,,,
Al12B22Fe66,0.15,Ribbon,,,
Al16B14Fe70,0.15,Ribbon,,,
Al16B18Fe66,0.15,Ribbon,,,
Al16B22Fe62,0.15,Ribbon,,,
Al16B26Fe58,0.15,Ribbon,,,
Al20B14Fe66,0.15,Ribbon,,,
Al20B18Fe62,0.15,Ribbon,,,
Al20B26Fe54,0.15,Ribbon,,,
Al20B30Fe50,0.15,Ribbon,,,
Al20B34Fe46,0.15,Ribbon,,,
Al4B10Fe86,0,Crystal,,,
Al8B10Fe82,0,Crystal,,,
Al12B6Fe82,0,Crystal,,,
Al12B10Fe78,0,Crystal,,,
Al16B10Fe74,0,Crystal,,,
B18Ni82,0.15,Ribbon,,,
B30Ni70,0.15,Ribbon,,,
B34Ni66,0.15,Ribbon,,,
B38Ni62,0.15,Ribbon,,,
B40Ni60,0.15,Ribbon,,,
B42Ni58,0.15,Ribbon,,,
Al4B18Ni78,0.15,Ribbon,,,
Al4B22Ni74,0.15,Ribbon,,,
Al4B26Ni70,0.15,Ribbon,,,
Al4B30Ni66,0.15,Ribbon,,,
Al4B34Ni62,0.15,Ribbon,,,
Al4B38Ni58,0.15,Ribbon,,,
Al4B42Ni54,0.15,Ribbon,,,
Al8B18Ni74,0.15,Ribbon,,,
Al8B22Ni70,0.15,Ribbon,,,
Al8B26Ni66,0.15,Ribbon,,,
Al8B30Ni62,0.15,Ribbon,,,
Al8B34Ni58,0.15,Ribbon,,,
Al8B38Ni54,0.15,Ribbon,,,
Al8B42Ni50,0.15,Ribbon,,,
Al12B18Ni70,0.15,Ribbon,,,
Al12B22Ni66,0.15,Ribbon,,,
Al12B26Ni62,0.15,Ribbon,,,
Al12B30Ni58,0.15,Ribbon,,,
Al12B34Ni54,0.15,Ribbon,,,
Al16B18Ni66,0.15,Ribbon,,,
Al16B22Ni62,0.15,Ribbon,,,
Al16B26Ni58,0.15,Ribbon,,,
Al16B30Ni54,0.15,Ribbon,,,
Al16B34Ni50,0.15,Ribbon,,,
Al16B38Ni46,0.15,Ribbon,,,
Al20B18Ni62,0.15,Ribbon,,,
Al20B22Ni58,0.15,Ribbon,,,
Al20B26Ni54,0.15,Ribbon,,,
Al20B30Ni50,0.15,Ribbon,,,
Al20B34Ni46,0.15,Ribbon,,,
Al20B40Ni40,0.15,Ribbon,,,
Al24B26Ni50,0.15,Ribbon,,,
Al12B14Ni74,0,Crystal,,,
Al24B14Ni62,0,Crystal,,,
Al24B18Ni58,0,Crystal,,,
Al24B22Ni54,0,Crystal,,,
Al28B22Ni50,0,Crystal,,,
Al16B14Ni70,0,Crystal,,,
Al20B14Ni66,0,Crystal,,,
Al28B30Ni42,0,Crystal,,,
Al85Ca10Co5,0.15,Ribbon,,,
Al85Ca10Cu5,0.15,Ribbon,,,
Al87.5Ca7.5Fe5,0.15,Ribbon,,,
Al90Ca7.5Fe2.5,0.15,Ribbon,,,
Al85Ca10Fe5,0.15,Ribbon,,,
Al87.5Ca10Fe2.5,0,Crystal,,,
Al92.5Ca2.5Fe5,0,Crystal,,,
Al90Ca5Fe5,0,Crystal,,,
